ID,Upvotes
366953,241.6
71864,80.9
141692,41.9
316833,7.4
440445,390.1
3514,14.8
331420,21.8
406540,109.2
227379,46.7
331687,2.6
32784,4.3
470377,60.3
338103,14.2
29883,395.7
218228,47.0
70945,692.5
14328,35.6
259947,143.0
346378,643.7
384621,5.0
425418,17.3
131224,151.1
365408,33.6
218626,5.1
331722,19.3
310969,42.0
307391,168.3
14072,228.1
238694,8.8
213841,12.6
165258,131.4
123606,29.5
214062,113.5
279450,540.3
178546,75.9
358455,31.8
386308,12.5
155592,17.6
200090,34.8
127308,9.7
449766,29.3
223688,366.9
442443,13.3
451259,451.7
87024,6.6
207529,182.9
196568,42.2
38258,277.6
387275,5.7
86152,8.4
302142,160.1
401268,434.6
307187,8.8
252388,21.2
844,14.3
105707,15.6
230309,162.3
362573,43.8
173751,86.7
349049,11.0
310466,7.6
205786,156.6
208358,42.5
440214,32.0
41343,15.8
427741,229.5
355001,79.8
137708,35.0
146326,365.0
220889,39.0
205742,1359.4
28737,11.4
292474,10.2
349149,5.7
46230,0.7
303160,83.9
292638,41.0
210116,5.5
55900,37.8
91135,4.9
452177,248.1
170628,5.8
237099,12.1
166022,23.9
175687,40.4
392847,8.8
454964,4.6
259259,51.5
289148,186.4
311134,20.2
62551,796.9
336258,2.9
468049,40.5
22189,19.5
264888,32.0
451615,260.9
85004,43.6
375246,85.9
60204,39.7
126097,20.9
182425,5390.3
449937,82.3
442637,12005.8
378184,22.4
357584,290.7
383054,30.9
299871,24.6
152764,76.9
22064,11.9
416791,19.4
440686,70.8
44537,7.3
80203,20.5
81726,29.0
440068,314.1
109276,142.9
120567,4.3
169520,466.4
84443,7.6
139139,52.5
346145,24.2
75219,9.7
244042,70.6
6992,31.5
337741,14.1
20091,714.8
420761,72.4
101501,5.5
408598,805.9
306979,8.15
50260,20.0
21088,15.2
462951,7.966666666666666
196903,7.5
155361,161.3
51756,17.3
192022,6.3
384071,13.2
173305,652.9
56449,21.3
172164,12.5
341063,18.6
431990,6.1
342757,57.9
335181,29.7
121613,11.0
40216,72.2
116940,89.4
351719,7.2
436421,16.2
173164,23.2
362350,1.7
357892,356.8
335957,54.3
192010,2.1
407412,13.4
19359,6.1
82078,36.0
375709,2468.6
122137,74.0
244661,41.6
434900,113.3
54220,15.3
425162,46.4
453118,43.6
373873,9.7
238415,564.9
53501,124.7
67918,26.1
68982,2.4
81980,40.1
332015,73.6
171470,3.9
24209,25.3
396455,174.0
236372,37.2
29062,227.8
248733,4.3
43097,4.5
401490,42.0
181282,16.9
285264,36.4
386230,5.8
262238,15.2
226323,16.2
224589,88.6
61,4.2
120331,16.3
59519,3.4
263459,476.1
188774,1013.1
157423,25.7
204323,626.7
94807,8.0
130112,2.8
298030,240.9
361994,4.0
242867,28.0
345301,11.6
404296,7.3
403325,23.8
78570,21.8
247119,72.4
433907,1296.4
51709,10.9
256743,10.6
132448,31.9
429148,13.2
384840,5.1
434864,312.8
317954,119.0
452061,20.5
85212,25.5
373284,2.3
284208,199.2
233976,52.5
105691,873.4
375077,195.3
26720,56.3
70683,118.1
281194,25.2
390953,171.1
59608,399.1
341707,38.9
403654,30.7
209246,64.9
295413,71.4
379392,495.8
261533,39.1
130134,26.7
137990,162.0
413320,67.9
468459,129.1
189150,21.4
381154,3.5
373043,14.9
231677,6512.5
438093,16.5
443706,17.2
230906,224.3
138183,7.1
78231,6.0
70795,6.8
283674,18.8
144543,38.4
213929,43.4
458437,872.2
279629,42.3
284422,3.4
29532,26.4
409963,33.9
325099,163.1
409635,461.0
18156,29.7
355380,3.7
412081,50.5
363354,19.2
354537,300.2
209720,11.2
150078,85.1
31479,126.0
455028,26.8
104579,416.9
102986,57.2
60804,5.8
361348,143.2
234054,6451.7
212541,39.5
452107,6.9
227926,20.6
340913,14.4
316690,99.7
223984,6.3
193558,1683.8
155138,553.0
36080,17.3
355444,40.0
310281,32.3
79606,67.2
16325,414.8
460657,217.8
159813,34.7
390567,78.4
340325,13.0
85871,13.3
360723,8142.6
200645,3.5
180440,247.4
9158,76.2
295966,146.7
131958,86.1
168051,154.4
246426,10.5
195598,3.9
6177,13.4
10574,2.9
181076,24.1
170742,13.8
123659,69.8
333658,10.5
293962,32.3
423136,194.3
90343,220.3
32867,136.2
143820,77.1
16783,100.3
286877,660.9
422113,3.7
42145,18.0
377322,10.6
232647,13.2
320851,43.6
74336,556.9
121520,37.4
46307,8.7
137345,10.3
426975,21.3
126697,19.7
188080,24.4
399469,55.7
132942,75.7
199602,430.3
335704,41.2
20602,9.0
458202,337.6
74016,28.3
374627,396.0
169941,61.9
267769,127.5
108489,3.0
51782,48.6
160092,19.1
152160,123.1
162504,18.5
286106,103.5
331480,40.3
451655,34.5
311726,7.1
199325,118.8
24806,9.3
237104,25.4
252830,77.8
273090,18.9
115172,22.3
28445,59.9
153732,111.4
40870,3.1
212207,17.1
411175,7.4
213177,22.8
149578,5.7
329243,32.8
26565,537.8
242893,455.2
163630,37.5
11802,6.3
434228,729.0
277388,609.2
116623,3533.5
12726,28.6
92182,5.9
308356,9.4
342196,41.9
435921,43.3
117479,1324.4
20084,49.8
110267,1104.4
211485,13.7
52505,7.7
