ID,Upvotes
366953,297.5
71864,1113.5
141692,112.3
316833,140.0
440445,319.9
3514,993.6
331420,187.5
406540,111.4
227379,346.3
331687,131.2
32784,146.4
470377,99.7
338103,102.9
29883,405.9
218228,397.2
70945,10498.4
14328,91.1
259947,962.5
346378,478.7
384621,13.3
425418,120.8
131224,850.1
365408,185.4
218626,31.7
331722,194.2
310969,39.9
307391,3622.1
14072,2296.6
238694,163.1
213841,213.1
165258,200.9
123606,344.5
214062,51.3
279450,1508.1
178546,80.1
358455,74.7
386308,436.1
155592,108.8
200090,276.4
127308,259.5
449766,1928.3
223688,121.0
442443,7.5
451259,343.1
87024,85.4
207529,944.8
196568,76.1
38258,52.5
387275,75.4
86152,94.9
302142,73.6
401268,889.4
307187,177.0
252388,10.6
844,28.2
105707,7.7
230309,82.5
362573,169.2
173751,82.5
349049,70.1
310466,29.2
205786,38.5
208358,55.6
440214,224.7
41343,81.1
427741,1011.0
355001,878.0
137708,181.4
146326,4533.5
220889,255.4
205742,6245.8
28737,265.7
292474,56.3
349149,206.6
46230,29.0
303160,524.9
292638,8200.0
210116,723.3
55900,158.5
91135,23.0
452177,177.8
170628,460.9
237099,98.6
166022,85.7
175687,1099.7
392847,41.7
454964,37.0
259259,237.8
289148,173.9
311134,149.9
62551,109.8
336258,49.6
468049,40.4
22189,356.1
264888,1315.5
451615,1162.2
85004,44.7
375246,180.0
60204,153.1
126097,26.2
182425,21136.4
449937,198.6
442637,850.1
378184,184.1
357584,715.6
383054,105.4
299871,130.8
152764,80.0
22064,8.4
416791,159.8
440686,184.4
44537,42.6
80203,54.5
81726,123.2
440068,1258.2
109276,41.2
120567,330.6
169520,167.8
84443,71.2
139139,199.9
346145,2188.2
75219,90.2
244042,80.5
6992,117.4
337741,69.4
20091,1390.7
420761,80.7
101501,60.3
408598,4435.8
306979,191.7
50260,11.1
21088,97.6
462951,33.1
196903,181.0
155361,2667.9
51756,279.3
192022,131.3
384071,85.4
173305,1834.4
56449,103.4
172164,200.9
341063,30.1
431990,137.3
342757,602.4
335181,85.7
121613,88.6
40216,325.1
116940,13.9
351719,18.2
436421,96.8
173164,292.5
362350,198.7
357892,511.8
335957,231.6
192010,243.0
407412,202.8
19359,35.7
82078,55.6
375709,116.8
122137,190.7
244661,6284.4
434900,5952.3
54220,102.0
425162,425.1
453118,204.6
373873,381.6
238415,143.0
53501,843.5
67918,28.7
68982,126.6
81980,77.8
332015,966.4
171470,59.5
24209,92.5
396455,2433.1
236372,889.4
29062,1199.5
248733,139.1
43097,76.1
401490,123.8
181282,79.6
285264,602.8
386230,205.7
262238,1077.4
226323,17.9
224589,231.6
61,84.0
120331,136.6
59519,8.2
263459,598.6
188774,853.7
157423,162.0
204323,2122.7
94807,509.8
130112,62.3
298030,1598.1
361994,80.8
242867,23.6
345301,161.4
404296,376.5
403325,82.8
78570,38.1
247119,156.6
433907,1379.5
51709,182.3
256743,121.2
132448,185.6
429148,83.5
384840,300.0
434864,339.9
317954,71.6
452061,127.4
85212,35.3
373284,362.1
284208,641.5
233976,246.2
105691,4190.9
375077,1049.3
26720,158.7
70683,4222.0
281194,198.9
390953,1969.2
59608,193.3
341707,108.8
403654,256.4
209246,1122.2
295413,32.3
379392,47.0
261533,153.9
130134,77.7
137990,176.7
413320,81.6
468459,661.5
189150,43.1
381154,50.9
373043,85.3
231677,1089.3
438093,99.5
443706,64.1
230906,91.1
138183,381.6
78231,107.4
70795,18.4
283674,81.9
144543,192.4
213929,29.1
458437,1344.4
279629,168.4
284422,82.7
29532,101.9
409963,290.7
325099,2888.4
409635,465.3
18156,18.5
355380,96.5
412081,66.6
363354,139.7
354537,175.8
209720,133.5
150078,60.4
31479,227.0
455028,172.3
104579,3482.9
102986,502.6
60804,330.7
361348,209.9
234054,2608.2
212541,129.8
452107,150.5
227926,153.1
340913,4487.3
316690,89.3
223984,161.6
193558,6739.8
155138,759.1
36080,187.7
355444,47.4
310281,168.5
79606,352.7
16325,1242.4
460657,148.9
159813,233.9
390567,984.1
340325,56.8
